Antonín Dvořák | Symphony No.9, Op.95 | "" → "From the New World, Do Novo Mundo, New World Symphony" | Op.95 ; B.178 | title: "Symphony No.9" + opus: "Op.95"
Isaac Albéniz | Suite española No.2, Op.97 | "" → "Asturias (Leyenda), Astúrias – Lenda, Suite Española No. 5" | Op.97 | title: "Suite Española"
Aleksandr Borodin | Polovtsian Dances | "" → "Prince Igor, Danças Polovetsianas" | N/A | title: "Polovtsian Dances"
Béla Bartók | Romanian Folk Dances (orchestra), Sz.68 | "" → "Romanian Folk Dances, Danças Folclóricas Romenas" | Sz.68 ; BB 76 | title: "Romanian Folk Dances"
Béla Bartók | Romanian Folk Dances, Sz.56 | "" → "Romanian Folk Dances, Danças Folclóricas Romenas" | Sz.56 | title: "Romanian Folk Dances"
Franz Liszt | Mephisto Waltz No.1, S.514 | "" → "Mephisto Waltz No. 1, Valsa Mephisto" | S.514 ; LW.A189 | title: "Mephisto Waltz" + catalog: "S.514"
Franz Liszt | Mephisto Waltz No.2, S.515 | "" → "Mephisto Waltz No. 1, Valsa Mephisto" | S.515 ; LW.A288 | title: "Mephisto Waltz"
Franz Liszt | Mephisto Waltz No.3, S.216 | "" → "Mephisto Waltz No. 1, Valsa Mephisto" | S.215a (1st version)S.216 ; LW.A325 (2nd version) | title: "Mephisto Waltz"
Franz Liszt | Mephisto Waltz No.4, S.216b | "" → "Mephisto Waltz No. 1, Valsa Mephisto" | S.216b ; LW.A337 (1st version)S.696 ; LW.A337 (2nd version) | title: "Mephisto Waltz"
Franz Schubert | 4 Impromptus, D.899 | "" → "Impromptu G-flat major, Impromptu Op.90 No.3" | D.899 ; Op.90 | title: "Impromptu" + opus: "Op.90"
Franz Schubert | 4 Impromptus, D.935 | "" → "Impromptu G-flat major, Impromptu Op.90 No.3" | D.935 ; Op.142 | title: "Impromptu"
Franz Schubert | Impromptus and Moments musicaux | "" → "Impromptu G-flat major, Impromptu Op.90 No.3" | N/A | title: "Impromptu"
Johann Strauss Jr. | Tritsch-Tratsch-Polka, Op.214 | "" → "Polca do Fuxico, Tritsch-Tratsch-Polka" | Op.214 | title: "Tritsch-Tratsch-Polka" + opus: "Op.214"
Jules Massenet | Meditation form Thais | "" → "Méditation (from Thaïs), Meditação de Thaïs" | DO 24 ; 24a | title: "Méditation"
Jules Massenet | Thaïs | "" → "Méditation (from Thaïs), Meditação de Thaïs" | DO 24 ; 24a | title: "Thaïs"
Maurice Ravel | Gaspard de la nuit, M.55 | "" → "Ondina, Scarbo, Gaspard de la nuit" | M.55 | title: "Gaspard de la nuit" + catalog: "M.55"
Claude Debussy | L'isle joyeuse | "" → "The Isle of Joy, A Ilha Alegre" | CD 109 ; L.106 | title: "L'isle joyeuse" + catalog: "L.106"
Domenico Scarlatti | Keyboard Sonata in E major, K.134 | "" → "Sonata K.380 de Scarlatti" | K.134 ; L.221 ; P.143 ; CZ.51 | title: "Sonata in E major"
Domenico Scarlatti | Keyboard Sonata in E major, K.135 | "" → "Sonata K.380 de Scarlatti" | K.135 ; L.224 ; P.234 ; CZ.78 | title: "Sonata in E major"
Domenico Scarlatti | Keyboard Sonata in E major, K.136 | "" → "Sonata K.380 de Scarlatti" | K.136 ; L.377 ; P.113 ; CZ.109 | title: "Sonata in E major"
Domenico Scarlatti | Keyboard Sonata in E major, K.162 | "" → "Sonata K.380 de Scarlatti" | K.162 ; L.21 ; P.162 | title: "Sonata in E major"
Domenico Scarlatti | Keyboard Sonata in E major, K.163 | "" → "Sonata K.380 de Scarlatti" | K.163 ; L.63 ; P.206 | title: "Sonata in E major"
Domenico Scarlatti | Keyboard Sonata in E major, K.20 | "" → "Sonata K.380 de Scarlatti" | K.20 ; L.375 ; P.76 ; CZ.26 | title: "Sonata in E major"
Domenico Scarlatti | Keyboard Sonata in E major, K.206 | "" → "Sonata K.380 de Scarlatti" | K.206 ; L.257 ; P.307 ; CZ.94 | title: "Sonata in E major"
Domenico Scarlatti | Keyboard Sonata in E major, K.207 | "" → "Sonata K.380 de Scarlatti" | K.207 ; L.371 ; P.140 | title: "Sonata in E major"
Domenico Scarlatti | Keyboard Sonata in E major, K.215 | "" → "Sonata K.380 de Scarlatti" | K.215 ; L.323 ; P.281 ; CZ.80 | title: "Sonata in E major"
Domenico Scarlatti | Keyboard Sonata in E major, K.216 | "" → "Sonata K.380 de Scarlatti" | K.216 ; L.273 ; P.320 ; CZ.66 | title: "Sonata in E major"
Domenico Scarlatti | Keyboard Sonata in E major, K.264 | "" → "Sonata K.380 de Scarlatti" | K.264 ; L.466 ; P.308 | title: "Sonata in E major"
Domenico Scarlatti | Keyboard Sonata in E major, K.28 | "" → "Sonata K.380 de Scarlatti" | K.28 ; L.373 ; P.84 ; CZ.34 | title: "Sonata in E major"
Domenico Scarlatti | Keyboard Sonata in E major, K.380 | "" → "Sonata K.380 de Scarlatti" | K.380 ; L.23 ; P.483 ; CZ.100 | title: "Sonata in E major" + catalog: "K.380"
Domenico Scarlatti | Keyboard Sonata in E major, K.381 | "" → "Sonata K.380 de Scarlatti" | K.381 ; L.225 ; P.323 ; CZ.92 | title: "Sonata in E major"
Domenico Scarlatti | Keyboard Sonata in E major, K.395 | "" → "Sonata K.380 de Scarlatti" | K.395 ; L.65 ; P.273 | title: "Sonata in E major"
Domenico Scarlatti | Keyboard Sonata in E major, K.403 | "" → "Sonata K.380 de Scarlatti" | K.403 ; L.470 ; P.437 | title: "Sonata in E major"
Domenico Scarlatti | Keyboard Sonata in E major, K.46 | "" → "Sonata K.380 de Scarlatti" | K.46 ; L.25 ; P.179 | title: "Sonata in E major"
Domenico Scarlatti | Keyboard Sonata in E major, K.495 | "" → "Sonata K.380 de Scarlatti" | K.495 ; L.426 ; P.384 | title: "Sonata in E major"
Domenico Scarlatti | Keyboard Sonata in E major, K.496 | "" → "Sonata K.380 de Scarlatti" | K.496 ; L.372 ; P.332 | title: "Sonata in E major"
Domenico Scarlatti | Keyboard Sonata in E major, K.530 | "" → "Sonata K.380 de Scarlatti" | K.530 ; L.44 ; P.534 | title: "Sonata in E major"
Domenico Scarlatti | Keyboard Sonata in E major, K.531 | "" → "Sonata K.380 de Scarlatti" | K.531 ; L.430 ; P.535 ; CZ.67 | title: "Sonata in E major"
Ernesto Nazareth | Odeon | "" → "Odeon (tango brasileiro), Tango brasileiro" | N/A | title: "Odeon"
Maurice Ravel | Le tombeau de Couperin, M.68 | "" → "Túmulo de Couperin, Le tombeau de Couperin" | M.68 | title: "Le tombeau de Couperin" + catalog: "M.68"
Maurice Ravel | Le tombeau de Couperin, M.68a | "" → "Túmulo de Couperin, Le tombeau de Couperin" | M.68a | title: "Le tombeau de Couperin" + catalog: "M.68"
Antonio Salieri | 26 Variations on 'La folia di Spagna' | "" → "26 Variations on La Folia di Spagna, La Folia" | N/A | title: "La Folia"
Aleksandr Scriabin | 12 Etudes, Op.8 | "" → "Estudo Dramático de Scriabin, Étude Op.8 No.12" | Op.8 | opus: "Op.8"
Antonio Vivaldi | Concerto for Strings in D minor, RV 454 | "" → "Le quattro stagioni, Quatro Estações, As Quatro Estações: Primavera, As Quatro Estações: Inverno" | RV 454 ; F.VII.1 ; P.259 ; Op.8 No.9 | opus: "Op.8"
Antonio Vivaldi | Il cimento dell'armonia e dell'inventione, Op.8 | "" → "Le quattro stagioni, Quatro Estações, As Quatro Estações: Primavera, As Quatro Estações: Inverno" | Op.8 ; F. I:22-25 ; RV 269, 315, 293, 297, 253, 180, 242, 332, 236, 362, 210, 178 | opus: "Op.8"
Antonio Vivaldi | Oboe Concerto in D minor, RV 454 | "" → "Le quattro stagioni, Quatro Estações, As Quatro Estações: Primavera, As Quatro Estações: Inverno" | RV 454 ; F.VII.1 ; P.259 ; Op.8 No.9 | opus: "Op.8"
Antonio Vivaldi | Violin Concerto in B-flat major, RV 362 | "" → "Le quattro stagioni, Quatro Estações, As Quatro Estações: Primavera, As Quatro Estações: Inverno" | RV 362 ; Op.8 No.10 | opus: "Op.8"
Antonio Vivaldi | Violin Concerto in C major, RV 17 | "" → "Le quattro stagioni, Quatro Estações, As Quatro Estações: Primavera, As Quatro Estações: Inverno" | RV 178 ; Op.8 No.12 | opus: "Op.8"
Antonio Vivaldi | Violin Concerto in C major, RV 178 | "" → "Le quattro stagioni, Quatro Estações, As Quatro Estações: Primavera, As Quatro Estações: Inverno" | RV 178 ; Op.8 No.12 | opus: "Op.8"
Antonio Vivaldi | Violin Concerto in C major, RV 180 | "" → "Le quattro stagioni, Quatro Estações, As Quatro Estações: Primavera, As Quatro Estações: Inverno" | RV 180 ; Op.8 No.6 | opus: "Op.8"
Antonio Vivaldi | Violin Concerto in D major, RV 210 | "" → "Le quattro stagioni, Quatro Estações, As Quatro Estações: Primavera, As Quatro Estações: Inverno" | RV 210 ; Op.8 No.11 | opus: "Op.8"
Antonio Vivaldi | Violin Concerto in D minor, RV 236 | "" → "Le quattro stagioni, Quatro Estações, As Quatro Estações: Primavera, As Quatro Estações: Inverno" | RV 236 ; P.259 ; Op.8 No.9 | opus: "Op.8"
Antonio Vivaldi | Violin Concerto in D minor, RV 242 | "" → "Le quattro stagioni, Quatro Estações, As Quatro Estações: Primavera, As Quatro Estações: Inverno" | RV 242 ; F.I.28 ; P.258 ; Op.8 Nr.7 | opus: "Op.8"
Antonio Vivaldi | Violin Concerto in E major, RV 269 | "" → "Le quattro stagioni, Quatro Estações, As Quatro Estações: Primavera, As Quatro Estações: Inverno" | RV 269 ; Op.8 No.1 | opus: "Op.8"
Antonio Vivaldi | Violin Concerto in E-flat major, RV 253 | "" → "Le quattro stagioni, Quatro Estações, As Quatro Estações: Primavera, As Quatro Estações: Inverno" | RV 253 ; Op.8 No.5 | opus: "Op.8"
Antonio Vivaldi | Violin Concerto in F major, RV 293 | "" → "Le quattro stagioni, Quatro Estações, As Quatro Estações: Primavera, As Quatro Estações: Inverno" | RV 293 ; Op.8 No.3 | opus: "Op.8"
Antonio Vivaldi | Violin Concerto in F minor, RV 297 | "" → "Le quattro stagioni, Quatro Estações, As Quatro Estações: Primavera, As Quatro Estações: Inverno" | RV 297 ; Op.8 No.4 | opus: "Op.8"
Antonio Vivaldi | Violin Concerto in G minor, RV 315 | "" → "Le quattro stagioni, Quatro Estações, As Quatro Estações: Primavera, As Quatro Estações: Inverno" | RV 315 ; Op.8 No.2 | opus: "Op.8"
Antonio Vivaldi | Violin Concerto in G minor, RV 332 | "" → "Le quattro stagioni, Quatro Estações, As Quatro Estações: Primavera, As Quatro Estações: Inverno" | RV 332 ; Op.8 No.8 | opus: "Op.8"
Arcangelo Corelli | 12 Concerti grossi, Op.6 | "" → "Concerto Grosso Op. 6 No. 8, Concerto de Natal" | Op.6 | opus: "Op.6"
Arcangelo Corelli | Concerto grosso in B-flat major, Op.6 No.11 | "" → "Concerto Grosso Op. 6 No. 8, Concerto de Natal" | Op.6 No.11 | opus: "Op.6"
Arcangelo Corelli | Concerto grosso in C major, Op.6 No.10 | "" → "Concerto Grosso Op. 6 No. 8, Concerto de Natal" | Op.6 No.10 | opus: "Op.6"
Arcangelo Corelli | Concerto grosso in C minor, Op.6 No.3 | "" → "Concerto Grosso Op. 6 No. 8, Concerto de Natal" | Op.6 No.3 | opus: "Op.6"
Arcangelo Corelli | Concerto grosso in D major, Op.6 No.1 | "" → "Concerto Grosso Op. 6 No. 8, Concerto de Natal" | Op.6 No.1 | opus: "Op.6"
Arcangelo Corelli | Concerto grosso in D major, Op.6 No.4 | "" → "Concerto Grosso Op. 6 No. 8, Concerto de Natal" | Op.6 No.4 | opus: "Op.6"
Arcangelo Corelli | Concerto grosso in F major, Op.6 No.2 | "" → "Concerto Grosso Op. 6 No. 8, Concerto de Natal" | Op.6 No.2 | opus: "Op.6"
Arcangelo Corelli | Concerto grosso in F major, Op.6 No.6 | "" → "Concerto Grosso Op. 6 No. 8, Concerto de Natal" | Op.6 No.6 | opus: "Op.6"
Arcangelo Corelli | Concerto grosso in G minor 'Fatto per la Notte di Natale', Op.6 No.8 | "" → "Concerto Grosso Op. 6 No. 8, Concerto de Natal" | Op.6 No.8 ; MC 6.8 | opus: "Op.6"
Arnold Mendelssohn | Suite for Woodwinds, Brass and Percussion, Op.62 | "" → "Spring Song, Canção da Primavera, Songs Without Words" | Op.62 | opus: "Op.62"
Camille Saint-Saëns | Extraits de Carnaval des Animeaus (No.1,5,9 et 12) | "" → "Le carnaval des animaux, O Carnaval dos Bichos, O Cisne" | R.125 | catalog: "R.125"
Camille Saint-Saëns | Le carnaval des animaux | "" → "Le carnaval des animaux, O Carnaval dos Bichos, O Cisne" | R.125 | catalog: "R.125"
Clara Schumann | 4 Pièces fugitives, Op.15 | "" → "Scenes from Childhood, Cenas da Infância, Träumerei, Devaneio, Dreaming" | Op.15 | opus: "Op.15"
Clara Schumann | Souvenir de Vienne, Op.9 | "" → "Scènes mignonnes, Cenas Mignonnes" | Op.9 | opus: "Op.9"
Claude Debussy | Children's Corner | "" → "Children's Corner, Cakewalk de Golliwogg" | CD 119 ; L.113 | catalog: "L.113"
Claude Debussy | Préludes, Livre 1 | "" → "The Girl with the Flaxen Hair, A Menina dos Cabelos de Linho" | CD 125 ; L.117 | catalog: "L.117"
Claude Debussy | Suite bergamasque | "" → "Suite Bergamasque, Suíte Bergamasque, Clair de lune, Clare de Lune, Claro de Lua" | CD 82 ; L.75 | catalog: "L.75"
Edvard Grieg | Lyric Pieces, Op.12 | "" → "Lyric Pieces, Arietta" | Op.12 | opus: "Op.12"
Edvard Grieg | Watchman's song | "" → "Lyric Pieces, Arietta" | Op.12 | opus: "Op.12"
Felix Mendelssohn | A Midsummer Night's Dream, incidental music, Op.61 | "" → "A Midsummer Night's Dream, Sonho de uma Noite de Verão, Marcha Nupcial (de Mendelssohn)" | Op.61 ; MWV M 13 | opus: "Op.61"
Felix Mendelssohn | Lieder ohne Worte, Op.62 | "" → "Spring Song, Canção da Primavera, Songs Without Words" | Op.62 | opus: "Op.62"
Franz Liszt | Grandes études de Paganini, S.141 | "" → "The Little Bell, O Sininho, La Campanella, O Sino Pequeno" | S.141 ; LW.A173 | catalog: "S.141"
Franz Liszt | Harmonies poétiques et religieuses III, S.173 | "" → "Funérailles, Harmonies poétiques et religieuses" | S.173 ; LW.A158 | catalog: "S.173"
Franz Liszt | Hymne de la nuit, S.173a/1 | "" → "Funérailles, Harmonies poétiques et religieuses" | S.173a/1 | catalog: "S.173"
Franz Liszt | Hymne du matin, S.173a/2 | "" → "Funérailles, Harmonies poétiques et religieuses" | S.172a/3 ; LW.A61/3 (1st version)S.173a/2 ; LW.A61/3 (2nd version) | catalog: "S.173"
Franz Liszt | Marche de Rákóczy, S.244c | "" → "Hungarian Rhapsodies, Rapsódias Húngaras, Rapsódia Húngara Nº 2" | S.244c ; LW.132/15a | catalog: "S.244"
Franz Schubert | Bootgesang, D.835 | "" → "Schubert Ave Maria, Ave Maria de Schubert" | D.835 ; Op.52 No.3 | opus: "Op.52"
Franz Schubert | Coronach, D.836 | "" → "Schubert Ave Maria, Ave Maria de Schubert" | D.836 (Op.52 No.4) | opus: "Op.52"
Franz Schubert | Ellens Gesang, D.837 | "" → "Schubert Ave Maria, Ave Maria de Schubert" | D.837 (Op.52 No.1) | opus: "Op.52"
Franz Schubert | Ellens Gesang, D.838 | "" → "Schubert Ave Maria, Ave Maria de Schubert" | D.838 ; (Op.52 No.2) | opus: "Op.52"
Franz Schubert | Improvvisi | "" → "Impromptu G-flat major, Impromptu Op.90 No.3" | Op.90, 142 | opus: "Op.90"
Franz Schubert | Lied des gefangenen Jägers, D.843 | "" → "Schubert Ave Maria, Ave Maria de Schubert" | D.843 (Op.52 No.7) | opus: "Op.52"
Franz Schubert | Normans Gesang, D.846 | "" → "Schubert Ave Maria, Ave Maria de Schubert" | D.846 (Op.52 No.5) | opus: "Op.52"
Franz Schubert | Piano Quintet in A major, D.667 | "" → "Piano Quintet, Quinteto para Piano" | D.667 ; Op.114 | catalog: "D.667"
Franz Schubert | String Quartet in D minor, D.810 | "" → "String Quartet No.14, Quarteto de Cordas No.14" | D.810 | catalog: "D.810"
Frédéric Chopin | Études, Op.10 | "" → "Étude Op.10 No.12, Estudo Op.10 No.12, Revolutionary Étude, Estudo Revolucionário" | Op.10 | opus: "Op.10"
Frédéric Chopin | Études, Op.25 | "" → "Étude Op.25 No.11, Estudo Op.25 No.11, Winter Wind, Vento de Inverno" | Op.25 | opus: "Op.25"
Frédéric Chopin | Nocturnes, Op.9 | "" → "Nocturne Op.9 No.2, Noturno em Mi bemol maior, Famous Nocturne" | Op.9 | opus: "Op.9"
Frédéric Chopin | Piano Sonata No.2, Op.35 | "" → "Piano Sonata No.2, Sonata No.2 para Piano, Funeral March" | Op.35 | opus: "Op.35"
Frédéric Chopin | Prélude Db Major | "" → "Prelude No.15, Prelúdio No.15, Raindrop Prelude, Prelúdio da Gota, Prelúdio da Chuva" | Op.28 ; C.166-189 | opus: "Op.28"
Frédéric Chopin | Prelude in E-flat minor | "" → "Prelude No.15, Prelúdio No.15, Raindrop Prelude, Prelúdio da Gota, Prelúdio da Chuva" | Op.28 ; C.166-189 | opus: "Op.28"
Frédéric Chopin | Preludes, Op.28 | "" → "Prelude No.15, Prelúdio No.15, Raindrop Prelude, Prelúdio da Gota, Prelúdio da Chuva" | Op.28 ; C.166-189 | opus: "Op.28"
Frédéric Chopin | Waltzes, Op.64 | "" → "Waltz in D-flat major, Valsa em Ré bemol maior, Valsa do Cãozinho, Minute Waltz" | Op.64 | opus: "Op.64"
George Frideric Handel | Passepied in A major, HWV 560 | "" → "Hallelujah Chorus, Coro Aleluia, Aleluia do Messias" | HWV 560 | catalog: "HWV 56"
George Frideric Handel | Prelude in E major, HWV 566 | "" → "Hallelujah Chorus, Coro Aleluia, Aleluia do Messias" | HWV 566 | catalog: "HWV 56"
George Frideric Handel | Prelude, HWV 562 | "" → "Hallelujah Chorus, Coro Aleluia, Aleluia do Messias" | HWV 562 | catalog: "HWV 56"
George Frideric Handel | Prelude, HWV 563 | "" → "Hallelujah Chorus, Coro Aleluia, Aleluia do Messias" | HWV 563 | catalog: "HWV 56"
George Frideric Handel | Prelude, HWV 564 | "" → "Hallelujah Chorus, Coro Aleluia, Aleluia do Messias" | HWV 564 | catalog: "HWV 56"
George Frideric Handel | Preludes, Air and Lesson | "" → "Hallelujah Chorus, Coro Aleluia, Aleluia do Messias" | HWV 561, 570, 468, 573, 575, 496 | catalog: "HWV 56"
George Frideric Handel | Preludium, HWV 567 | "" → "Hallelujah Chorus, Coro Aleluia, Aleluia do Messias" | HWV 567 | catalog: "HWV 56"
George Frideric Handel | Preludium, HWV 568 | "" → "Hallelujah Chorus, Coro Aleluia, Aleluia do Messias" | HWV 568 | catalog: "HWV 56"
Johann Sebastian Bach | Das Wohl Temperierte Klavier, vol I, Fugue 18 | "" → "48 Preludes and Fugues, 48 Prelúdios e Fugas, Prelúdio em Dó maior, Prelúdio do Cravo Bem Temperado" | BWV 846–869 ; BC L 80-103 | catalog: "BWV 846"
Johann Sebastian Bach | Das wohltemperierte Klavier I, BWV 846-869 | "" → "48 Preludes and Fugues, 48 Prelúdios e Fugas, Prelúdio em Dó maior, Prelúdio do Cravo Bem Temperado" | BWV 846–869 ; BC L 80-103 | catalog: "BWV 846"
Johann Sebastian Bach | Goldberg-Variationen, BWV 988 | "" → "Aria with Diverse Variations, Aria com Variações Diversas, Variações Goldberg – Ária" | BWV 988 ; BC L 9 ; Op.4 | catalog: "BWV 988"
Johann Sebastian Bach | Herz und Mund und Tat und Leben, BWV 147 | "" → "Chorale from Cantata 147, Coral da Cantata 147, Jesus, Alegria dos Homens" | BWV 147 ; BC A 174 | catalog: "BWV 147"
Johann Sebastian Bach | Herz und Mund und Tat und Leben, BWV 147a | "" → "Chorale from Cantata 147, Coral da Cantata 147, Jesus, Alegria dos Homens" | BWV 147a; BC A 7 | catalog: "BWV 147"
Johann Sebastian Bach | Orchestral Suite No.3 in D major, BWV 1068 | "" → "Air from Orchestral Suite No.3, Ária da Suíte Orquestral No.3, Ária na Corda Sol" | BWV 1068 | catalog: "BWV 1068"
Johann Sebastian Bach | Prelude and Fughetta in C major, BWV 846a | "" → "48 Preludes and Fugues, 48 Prelúdios e Fugas, Prelúdio em Dó maior, Prelúdio do Cravo Bem Temperado" | BWV 846a ; BC L 80 | catalog: "BWV 846"
Johann Sebastian Bach | Prelude and Fugue in C major, BWV 846 | "" → "48 Preludes and Fugues, 48 Prelúdios e Fugas, Prelúdio em Dó maior, Prelúdio do Cravo Bem Temperado" | BWV 846 ; BC L 80 | catalog: "BWV 846"
Johann Sebastian Bach | Preludio XXII Clave Bien Temperado - Libro I | "" → "48 Preludes and Fugues, 48 Prelúdios e Fugas, Prelúdio em Dó maior, Prelúdio do Cravo Bem Temperado" | BWV 846–869 ; BC L 80-103 | catalog: "BWV 846"
Johann Sebastian Bach | Sinfonia in F major, BWV 1046a | "" → "Brandenburg Concertos, Concertos de Brandenburg" | BWV 1046a (formerly BWV 1071) | catalog: "BWV 1046"
Johann Strauss Jr. | An der schönen blauen Donau, Op.314 | "" → "Blue Danube Waltz, Valsa do Danúbio Azul, O Danúbio Azul" | Op.314 | opus: "Op.314"
Johann Strauss Sr. | Nádor Kör, Op.214 | "" → "Polca do Fuxico, Tritsch-Tratsch-Polka" | Op.214 | opus: "Op.214"
Johannes Brahms | 16 Waltzes, Op.39 | "" → "Waltz Op.39 No.15, Valsa de Brahms" | Op.39 | opus: "Op.39"
Johannes Brahms | 5 Lieder, Op.49 | "" → "Brahms' Lullaby, Canção de Ninar de Brahms, Wiegenlied" | Op.49 | opus: "Op.49"
Johannes Brahms | Kleine Hochzeits-Kantate, WoO 16 | "" → "Hungarian Dances, Danças Húngaras, Dança Húngara Nº 5" | WoO 16 | catalog: "WoO 1"
Johannes Brahms | Missa canonica, WoO 18 | "" → "Hungarian Dances, Danças Húngaras, Dança Húngara Nº 5" | WoO 18 | catalog: "WoO 1"
Johannes Brahms | Prelude and Fugue, WoO 10 | "" → "Hungarian Dances, Danças Húngaras, Dança Húngara Nº 5" | WoO 10 | catalog: "WoO 1"
Ludwig Mendelssohn | 14 Miniatures, Op.62 | "" → "Spring Song, Canção da Primavera, Songs Without Words" | Op.62 | opus: "Op.62"
Ludwig Mendelssohn | 3 Piano Pieces, Op.64 | "" → "Mendelssohn Violin Concerto, Concerto para Violino de Mendelssohn" | Op.64 | opus: "Op.64"
Ludwig van Beethoven | Der glorreiche Augenblick, Op.136 | "" → "Pathétique, Patética, Pathétique Sonata" | Op.136 | opus: "Op.13"
Ludwig van Beethoven | Fugue in D major, Op.137 | "" → "Pathétique, Patética, Pathétique Sonata" | Op.137 | opus: "Op.13"
Ludwig van Beethoven | Große Fuge, Op.133 | "" → "Pathétique, Patética, Pathétique Sonata" | Op.133 | opus: "Op.13"
Ludwig van Beethoven | Leonora Overture No.1, Op.138 | "" → "Pathétique, Patética, Pathétique Sonata" | Op.138 | opus: "Op.13"
Ludwig van Beethoven | Piano Concerto in D major, Op.61a | "" → "Beethoven Violin Concerto, Concerto para Violino em Ré maior" | Op.61a | opus: "Op.61"
Ludwig van Beethoven | Piano Sonata No.13, Op.27 No.1 | "" → "Moonlight Sonata, Sonata ao Luar, Sonata Claro de Luna" | Op.27 No.1 | opus: "Op.27"
Ludwig van Beethoven | String Quartet No.13, Op.130 | "" → "Pathétique, Patética, Pathétique Sonata" | Op.130 | opus: "Op.13"
Ludwig van Beethoven | String Quartet No.14, Op.131 | "" → "Pathétique, Patética, Pathétique Sonata" | Op.131 | opus: "Op.13"
Ludwig van Beethoven | String Quartet No.15, Op.132 | "" → "Pathétique, Patética, Pathétique Sonata" | Op.132 | opus: "Op.13"
Ludwig van Beethoven | String Quartet No.16, Op.135 | "" → "Pathétique, Patética, Pathétique Sonata" | Op.135 | opus: "Op.13"
Robert Schumann | 3 Gesänge, Op.95 | "" → "Scènes mignonnes, Cenas Mignonnes" | Op.95 | opus: "Op.9"
Robert Schumann | 3 Romances | "" → "Scènes mignonnes, Cenas Mignonnes" | Op.94 | opus: "Op.9"
Robert Schumann | 3 Romanzen, Op.94 | "" → "Scènes mignonnes, Cenas Mignonnes" | Op.94 | opus: "Op.9"
Robert Schumann | 6 Gedichte von N. Lenau und Requiem, Op.90 | "" → "Scènes mignonnes, Cenas Mignonnes" | Op.90 | opus: "Op.9"
Robert Schumann | 6 Romanzen für Frauenstimmen Vol.II, Op.91 | "" → "Scènes mignonnes, Cenas Mignonnes" | Op.91 | opus: "Op.9"
Robert Schumann | Bunte Blätter, Op.99 | "" → "Scènes mignonnes, Cenas Mignonnes" | Op.99 | opus: "Op.9"
Robert Schumann | Konzertstück, Op.92 | "" → "Scènes mignonnes, Cenas Mignonnes" | Op.92 | opus: "Op.9"
Robert Schumann | Lieder und Gesänge aus 'Wilhelm Meister', Op.98a | "" → "Scènes mignonnes, Cenas Mignonnes" | Op.98a | opus: "Op.9"
Robert Schumann | Lieder und Gesänge, Vol.IV, Op.96 | "" → "Scènes mignonnes, Cenas Mignonnes" | Op.96 | opus: "Op.9"
Robert Schumann | Requiem für Mignon, Op.98b | "" → "Scènes mignonnes, Cenas Mignonnes" | Op.98b | opus: "Op.9"
Robert Schumann | Symphony No.3, Op.97 | "" → "Scènes mignonnes, Cenas Mignonnes" | Op.97 | opus: "Op.9"
Robert Schumann | Verzweifle nicht im Schmerzenstal, Op.93 | "" → "Scènes mignonnes, Cenas Mignonnes" | Op.93 | opus: "Op.9"
Sergei Rachmaninoff | 13 Preludes, Op.32 | "" → "The Bells of Moscow, Os Sinos de Moscou, Prelúdio dramático" | Op.32 | opus: "Op.3"
Sergei Rachmaninoff | 14 Romances, Op.34 | "" → "The Bells of Moscow, Os Sinos de Moscou, Prelúdio dramático" | Op.34 | opus: "Op.3"
Sergei Rachmaninoff | 6 Romances, Op.38 | "" → "The Bells of Moscow, Os Sinos de Moscou, Prelúdio dramático" | Op.38 | opus: "Op.3"
Sergei Rachmaninoff | All-Night Vigil, Op.37 | "" → "The Bells of Moscow, Os Sinos de Moscou, Prelúdio dramático" | Op.37 | opus: "Op.3"
Sergei Rachmaninoff | Etudes-tableaux, Op.33 | "" → "The Bells of Moscow, Os Sinos de Moscou, Prelúdio dramático" | Op.33 | opus: "Op.3"
Sergei Rachmaninoff | Etudes-tableaux, Op.39 | "" → "The Bells of Moscow, Os Sinos de Moscou, Prelúdio dramático" | Op.39 | opus: "Op.3"
Sergei Rachmaninoff | Liturgy of St John Chrysostom, Op.31 | "" → "The Bells of Moscow, Os Sinos de Moscou, Prelúdio dramático" | Op.31 | opus: "Op.3"
Sergei Rachmaninoff | Morceaux de fantaisie, Op.3 | "" → "The Bells of Moscow, Os Sinos de Moscou, Prelúdio dramático" | Op.3 | opus: "Op.3"
Sergei Rachmaninoff | Piano Concerto No.3, Op.30 | "" → "The Bells of Moscow, Os Sinos de Moscou, Prelúdio dramático" | Op.30 | opus: "Op.3"
Sergei Rachmaninoff | Piano Sonata No.2, Op.36 | "" → "The Bells of Moscow, Os Sinos de Moscou, Prelúdio dramático" | Op.36 | opus: "Op.3"
Sergei Rachmaninoff | The Bells, Op.35 | "" → "The Bells of Moscow, Os Sinos de Moscou, Prelúdio dramático" | Op.35 | opus: "Op.3"
Wolfgang Amadeus Mozart | Fingerübungen, K.626b | "" → "Requiem Mass, Missa de Réquiem, Mozart Requiem" | K.626b | catalog: "K.626"
