Antonín Dvořák | Symphony No.9, Op.95 | "" → "From the New World, Do Novo Mundo, New World Symphony" | Op.95 ; B.178 | title: "Symphony No.9" + opus: "Op.95"
Franz Liszt | Hungarian Rhapsody No.1, S.244/1 | "" → "Hungarian Rhapsodies, Rapsódias Húngaras, Rapsódia Húngara Nº 2" | S.244/1 ; LW.A132/1 | title: "Hungarian Rhapsody" + catalog: "S.244"
Franz Liszt | Hungarian Rhapsody No.10, S.244/10 | "" → "Hungarian Rhapsodies, Rapsódias Húngaras, Rapsódia Húngara Nº 2" | S.244/10 ; LW.A132/10 | title: "Hungarian Rhapsody" + catalog: "S.244"
Franz Liszt | Hungarian Rhapsody No.11, S.244/11 | "" → "Hungarian Rhapsodies, Rapsódias Húngaras, Rapsódia Húngara Nº 2" | S.244/11 ; LW.A132/11 | title: "Hungarian Rhapsody" + catalog: "S.244"
Franz Liszt | Hungarian Rhapsody No.12, S.244/12 | "" → "Hungarian Rhapsodies, Rapsódias Húngaras, Rapsódia Húngara Nº 2" | S.244/12 ; LW.A132/12 | title: "Hungarian Rhapsody" + catalog: "S.244"
Franz Liszt | Hungarian Rhapsody No.13, S.244/13 | "" → "Hungarian Rhapsodies, Rapsódias Húngaras, Rapsódia Húngara Nº 2" | S.244/13 ; LW.A132/13 | title: "Hungarian Rhapsody" + catalog: "S.244"
Franz Liszt | Hungarian Rhapsody No.14, S.244/14 | "" → "Hungarian Rhapsodies, Rapsódias Húngaras, Rapsódia Húngara Nº 2" | S.244/14 ; LW.A132/14 | title: "Hungarian Rhapsody" + catalog: "S.244"
Franz Liszt | Hungarian Rhapsody No.15, S.244/15 | "" → "Hungarian Rhapsodies, Rapsódias Húngaras, Rapsódia Húngara Nº 2" | S.244/15 ; LW.A132/15b | title: "Hungarian Rhapsody" + catalog: "S.244"
Franz Liszt | Hungarian Rhapsody No.16, S.244/16 | "" → "Hungarian Rhapsodies, Rapsódias Húngaras, Rapsódia Húngara Nº 2" | S.244/16 ; LW.A132/16 | title: "Hungarian Rhapsody" + catalog: "S.244"
Franz Liszt | Hungarian Rhapsody No.17, S.244/17 | "" → "Hungarian Rhapsodies, Rapsódias Húngaras, Rapsódia Húngara Nº 2" | S.244/17 ; LW.A132/17 | title: "Hungarian Rhapsody" + catalog: "S.244"
Franz Liszt | Hungarian Rhapsody No.18, S.244/18 | "" → "Hungarian Rhapsodies, Rapsódias Húngaras, Rapsódia Húngara Nº 2" | S.244/18 ; LW.A132/18 | title: "Hungarian Rhapsody" + catalog: "S.244"
Franz Liszt | Hungarian Rhapsody No.19, S.244/19 | "" → "Hungarian Rhapsodies, Rapsódias Húngaras, Rapsódia Húngara Nº 2" | S.244/19 ; LW.A132/19 | title: "Hungarian Rhapsody" + catalog: "S.244"
Franz Liszt | Hungarian Rhapsody No.2, S.244/2 | "" → "Hungarian Rhapsodies, Rapsódias Húngaras, Rapsódia Húngara Nº 2" | S.244/2 ; LW.A132/2 | title: "Hungarian Rhapsody" + catalog: "S.244"
Franz Liszt | Hungarian Rhapsody No.3, S.244/3 | "" → "Hungarian Rhapsodies, Rapsódias Húngaras, Rapsódia Húngara Nº 2" | S.244/3 ; LW.A132/3 | title: "Hungarian Rhapsody" + catalog: "S.244"
Franz Liszt | Hungarian Rhapsody No.4, S.244/4 | "" → "Hungarian Rhapsodies, Rapsódias Húngaras, Rapsódia Húngara Nº 2" | S.244/4 ; LW.A132/4 | title: "Hungarian Rhapsody" + catalog: "S.244"
Franz Liszt | Hungarian Rhapsody No.5, S.244/5 | "" → "Hungarian Rhapsodies, Rapsódias Húngaras, Rapsódia Húngara Nº 2" | S.244/5 ; LW.A132/5 | title: "Hungarian Rhapsody" + catalog: "S.244"
Franz Liszt | Hungarian Rhapsody No.6, S.244/6 | "" → "Hungarian Rhapsodies, Rapsódias Húngaras, Rapsódia Húngara Nº 2" | S.244/6 ; LW.A132/6 | title: "Hungarian Rhapsody" + catalog: "S.244"
Franz Liszt | Hungarian Rhapsody No.7, S.244/7 | "" → "Hungarian Rhapsodies, Rapsódias Húngaras, Rapsódia Húngara Nº 2" | S.244/7 ; LW.A132/7 | title: "Hungarian Rhapsody" + catalog: "S.244"
Franz Liszt | Hungarian Rhapsody No.8, S.244/8 | "" → "Hungarian Rhapsodies, Rapsódias Húngaras, Rapsódia Húngara Nº 2" | S.244/8 ; LW.A132/8 | title: "Hungarian Rhapsody" + catalog: "S.244"
Franz Liszt | Hungarian Rhapsody No.9, S.244/9 | "" → "Hungarian Rhapsodies, Rapsódias Húngaras, Rapsódia Húngara Nº 2" | S.244/9 ; LW.A132/9b | title: "Hungarian Rhapsody" + catalog: "S.244"
Frédéric Chopin | Polonaise in A-flat major, B.5 | "" → "Heroic Polonaise, Polonaise Heroica, Polonaise Op.53" | B.5 ; KK IVa: No. 2 | title: "Polonaise in A-flat major"
Frédéric Chopin | Polonaise in A-flat major, Op.53 | "" → "Heroic Polonaise, Polonaise Heroica, Polonaise Op.53" | Op.53 | title: "Polonaise in A-flat major" + opus: "Op.53"
George Frideric Handel | Water Music Suite No.1, HWV 348 | "" → "Suite for Orchestra, Suíte para Orquestra" | HWV 348 | title: "Water Music" + catalog: "HWV 348"
George Frideric Handel | Water Music Suite No.2, HWV 349 | "" → "Suite for Orchestra, Suíte para Orquestra" | HWV 349 | title: "Water Music"
George Frideric Handel | Water Music Suite No.3, HWV 350 | "" → "Suite for Orchestra, Suíte para Orquestra" | HWV 350 | title: "Water Music"
George Frideric Handel | Water Music, HWV 348-350 | "" → "Suite for Orchestra, Suíte para Orquestra" | HWV 348-350 | title: "Water Music" + catalog: "HWV 348"
Igor Stravinsky | The Rite of Spring, K015 | "" → "The Rite of Spring: Dance of the Earth, A Sagração da Primavera" | K015 | title: "The Rite of Spring"
Johannes Brahms | Symphony No.1, Op.68 | "" → "Beethoven's 10th, A 10ª de Beethoven" | Op.68 | title: "Symphony No.1" + opus: "Op.68"
Ludwig van Beethoven | Violin Concerto in C major, WoO 5 | "" → "Beethoven Violin Concerto, Concerto para Violino em Ré maior" | WoO 5 | title: "Violin Concerto"
Ludwig van Beethoven | Violin Concerto in D major, Op.61 | "" → "Beethoven Violin Concerto, Concerto para Violino em Ré maior" | Op.61 | title: "Violin Concerto" + opus: "Op.61"
Maurice Ravel | Pavane pour une infante défunte, M.19 | "" → "Pavane pour une infante défunte, Pavana para uma Princesa Morta, Pavana para uma Infanta Defunta" | M.19 | title: "Pavane pour une infante défunte" + catalog: "M.19"
Modest Mussorgsky | Night on Bald Mountain | "" → "Quadros de uma Exposição, Pictures at an Exhibition, Noite no Monte Calvo, Night on Bald Mountain" | N/A | title: "Night on Bald Mountain"
Modest Mussorgsky | Pictures at an Exhibition | "" → "Quadros de uma Exposição, Pictures at an Exhibition, Noite no Monte Calvo, Night on Bald Mountain" | N/A | title: "Pictures at an Exhibition"
Robert Schumann | Album für die Jugend und Kinderszenen | "" → "Scenes from Childhood, Cenas da Infância, Träumerei, Devaneio, Dreaming" | N/A | title: "Kinderszenen"
Robert Schumann | Carnaval, Op.9 | "" → "Scènes mignonnes, Cenas Mignonnes" | Op.9 | title: "Carnaval" + opus: "Op.9"
Robert Schumann | Kinderszenen, Op.15 | "" → "Scenes from Childhood, Cenas da Infância, Träumerei, Devaneio, Dreaming" | Op.15 | title: "Kinderszenen" + opus: "Op.15"
Sergei Rachmaninoff | Rhapsody on a Theme of Paganini, Op.43 | "" → "Paganini Rhapsody, Rapsódia Paganini" | Op.43 | title: "Rhapsody on a Theme of Paganini" + opus: "Op.43"
Wolfgang Amadeus Mozart | Piano Concerto No.21 in C major, K.467 | "" → "Elvira Madigan, Concerto Elvira Madigan, Elvira Madigan Theme" | K.467 | title: "Piano Concerto No.21" + catalog: "K.467"
Camille Saint-Saëns | Danse macabre (song) | "" → "Dance of Death, Dança da Morte" | N/A | title: "Danse macabre"
Camille Saint-Saëns | Danse macabre, Op.40 | "" → "Dance of Death, Dança da Morte" | Op.40 | title: "Danse macabre" + opus: "Op.40"
Claude Debussy | 2 Arabesques | "" → "Arabesque, First Arabesque, Primeira Arabesque" | CD 74 ; L.66 | title: "Arabesque" + catalog: "L.66"
Claude Debussy | 2 Arabèsques | "" → "Arabesque, First Arabesque, Primeira Arabesque" | CD 74 ; L.66 | title: "Arabesque" + catalog: "L.66"
Claude Debussy | Arabesque premiere | "" → "Arabesque, First Arabesque, Primeira Arabesque" | CD 74 ; L.66 | title: "Arabesque" + catalog: "L.66"
Heitor Villa-Lobos | As três Marias, W411 | "" → "Bachianas Brasileiras No. 5, Ária das Bachianas nº 5" | W411 | title: "Ária"
Heitor Villa-Lobos | Bachianas brasileiras No.1, W246 | "" → "Bachianas Brasileiras No. 5, Ária das Bachianas nº 5" | W246 | title: "Bachianas Brasileiras"
Heitor Villa-Lobos | Bachianas brasileiras No.2, W247, 250-252, 254, 568, 569 | "" → "Bachianas Brasileiras No. 5, Ária das Bachianas nº 5" | W247 (original) ; W250, 251, 254, 568 (cello and piano) ; W252, 569 (piano solo) | title: "Bachianas Brasileiras"
Heitor Villa-Lobos | Bachianas brasileiras No.3, W388 | "" → "Bachianas Brasileiras No. 5, Ária das Bachianas nº 5" | W388 | title: "Bachianas Brasileiras"
Heitor Villa-Lobos | Bachianas brasileiras No.4, W264, 424 | "" → "Bachianas Brasileiras No. 5, Ária das Bachianas nº 5" | W264 (piano); W424 (orchestra) | title: "Bachianas Brasileiras"
Heitor Villa-Lobos | Bachianas brasileiras No.5, W389-391 | "" → "Bachianas Brasileiras No. 5, Ária das Bachianas nº 5" | W389 (original) ; W390 (voice and piano) ; W391 (voice and guitar) | title: "Bachianas Brasileiras"
Heitor Villa-Lobos | Bachianas brasileiras No.6, W392 | "" → "Bachianas Brasileiras No. 5, Ária das Bachianas nº 5" | W392 | title: "Bachianas Brasileiras"
Heitor Villa-Lobos | Bachianas brasileiras No.7, W432 | "" → "Bachianas Brasileiras No. 5, Ária das Bachianas nº 5" | W432 | title: "Bachianas Brasileiras"
Heitor Villa-Lobos | Bachianas brasileiras No.8, W444 | "" → "Bachianas Brasileiras No. 5, Ária das Bachianas nº 5" | W444 | title: "Bachianas Brasileiras"
Heitor Villa-Lobos | Bachianas brasileiras No.9, W449 | "" → "Bachianas Brasileiras No. 5, Ária das Bachianas nº 5" | W449 | title: "Bachianas Brasileiras"
Igor Stravinsky | The Firebird (ballet), K010 | "" → "The Firebird: Finale, Pássaro de Fogo – Final" | K010 | title: "The Firebird"
Igor Stravinsky | The Firebird (suite), K010 | "" → "The Firebird: Finale, Pássaro de Fogo – Final" | K010 | title: "The Firebird"
Isaac Albéniz | Suite española No.1, Op.47 | "" → "Asturias (Leyenda), Astúrias – Lenda, Suite Española No. 5" | T.61 ; Op.47 | title: "Suite Española"
